,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.7151,100.0,300.0,0.0,5.0,-0.0151,0.0458257569496
1,100 splits,0.7151,100.0,300.0,0.0,5.0,-0.0151,0.00568990333837
0,loo,0.7191,100.0,300.0,0.0,5.0,0.0909,0.0392300904919
1,100 splits,0.7191,100.0,300.0,0.0,5.0,0.07115,0.00756387384215
0,loo,0.7134,100.0,300.0,0.0,5.0,-0.0634,0.0476969600708
1,100 splits,0.7134,100.0,300.0,0.0,5.0,-0.0254,0.00725637650622
0,loo,0.7315,100.0,300.0,0.0,5.0,0.0885,0.0384187454246
1,100 splits,0.7315,100.0,300.0,0.0,5.0,0.06,0.00576747345031
0,loo,0.7127,100.0,300.0,0.0,5.0,-0.0527,0.0473708771293
1,100 splits,0.7127,100.0,300.0,0.0,5.0,-0.09745,0.00474601806781
0,loo,0.712,100.0,300.0,0.0,5.0,-0.042,0.047021271782
1,100 splits,0.712,100.0,300.0,0.0,5.0,-0.061,0.00585192276094
0,loo,0.7277,100.0,300.0,0.0,5.0,-0.0977,0.0482804308183
1,100 splits,0.7277,100.0,300.0,0.0,5.0,-0.08195,0.00600809349961
0,loo,0.7145,100.0,300.0,0.0,5.0,0.0455,0.0427083130081
1,100 splits,0.7145,100.0,300.0,0.0,5.0,0.003,0.00647832925992
0,loo,0.7224,100.0,300.0,0.0,5.0,0.0276,0.0433012701892
1,100 splits,0.7224,100.0,300.0,0.0,5.0,0.00735,0.00602180932113
0,loo,0.6906,100.0,300.0,0.0,5.0,-0.0606,0.0482804308183
1,100 splits,0.6906,100.0,300.0,0.0,5.0,-0.0366,0.00605557594288
0,loo,0.7253,100.0,300.0,0.0,5.0,0.0247,0.0433012701892
1,100 splits,0.7253,100.0,300.0,0.0,5.0,-0.0293,0.00634783427635
0,loo,0.7063,100.0,300.0,0.0,5.0,0.0637,0.042083250825
1,100 splits,0.7063,100.0,300.0,0.0,5.0,0.06695,0.00617330442308
0,loo,0.7116,100.0,300.0,0.0,5.0,0.0184,0.0443959457608
1,100 splits,0.7116,100.0,300.0,0.0,5.0,-0.0146,0.00672346636788
0,loo,0.7309,100.0,300.0,0.0,5.0,0.0391,0.042083250825
1,100 splits,0.7309,100.0,300.0,0.0,5.0,0.0366,0.00488300624616
0,loo,0.6957,100.0,300.0,0.0,5.0,-0.1257,0.0495075751779
1,100 splits,0.6957,100.0,300.0,0.0,5.0,-0.1347,0.00660643625565
0,loo,0.6903,100.0,300.0,0.0,5.0,-0.1203,0.0495075751779
1,100 splits,0.6903,100.0,300.0,0.0,5.0,-0.09355,0.0052568705044
0,loo,0.7067,100.0,300.0,0.0,5.0,-0.0067,0.0458257569496
1,100 splits,0.7067,100.0,300.0,0.0,5.0,-0.0247,0.0080003124939
0,loo,0.7016,100.0,300.0,0.0,5.0,0.0684,0.042083250825
